user,user_id,when,review,cafe_id
Yiwen Zhu,316,3 years ago,Best coffee in Philly (I have been to a lot) and they have such a fine selection of hip hop music.,26
Kaido,317,3 years ago,"Thought I walked into an Instagram or Pintrest cafe tbh. Very aesthetic and cute. Also good espresso drinks, and nice spot to work or hangout.",26
Cory Alexander,181,9 months ago,"Bold, flavorful house drip at a very reasonable price. Greeted with positive energy when I walked into the large modern cafe.",26
James,318,2 years ago,"Lovely shop! Minimalist, clean, modern look. Great coffee and donut!",26
Arwa AlBuraikan,319,3 years ago,An extremely cozy coffee shop. I am obsessed with the minimalist aesthetic design. The baristas are what makes this place special. They use Elixir coffee beans so there’s no doubt about the quality of the coffee. There is lots of outlets …,26
Maryan Abdinur Mohamed,320,a year ago,"The best damn cup of coffee I have ever had!! We were in town for Beyonce and stopped by on our way out of the city.  I just got a drip coffee and added my own oat milk and sugar.  As I was walking out, I took a sip and was shocked at how …",26
Irina,253,a year ago,The baristas are super sweet and I really enjoyed my drink. However the WiFi is truly atrocious and not reliable at all. I’ve been twice and it’s been a persistent issue. Unfortunately not a place to get work done even though all the vibes are right,26
Salih Grevious,321,2 years ago,"Purchased an Americano coffee. It was decent, warm, and had an ok favor. There are significant limitations with this coffee shop. They only offered one size cups and had a limited amount of artificial sugar sweetener options. …",26
Antonina DeLucia,322,3 years ago,"I tried a plain old iced latte, regular milk, and it was great! I’d definitely go again and I’ll probably try a flavor or something - I noticed they had a mint syrup that sounded interesting. The staff was kind and welcoming :) I tend to be …",26
Steffane Creighton,323,3 years ago,"Gorgeous, minimalist space with wifi. Baristas are super helpful and friendly. The coffee is AMAZING, I had a cold brew. I bought some beans for at home and they give you a free drink when buying beans!! Will be back for sure",26
Andrea Kuoni,77,2 years ago,"I drove by here and decided to pop in when I had time. And I’m very glad I did. The baristas were so polite, welcoming, and gave great conversation while making my drink. The iced vanilla latte was delish! I cannot wait to be back.",26
Salman Soleimani-Dashtaki,324,2 years ago,"We walked into the coffee shop, tricked by Google’s high rating, not knowing it is a cannabis type store. Well, we were not there for a CBD drink or cookie, but just for a good coffee. I should mention that we got there 15 minutes before …",26
Will B,325,a year ago,Perfect cafe.  Some of the best cold brew I’ve ever had.  Third wave coffee excellence with friendly service and no pretense.  Recommended!!,26
Karen S. Haynes,326,5 months ago,"Vernick is my favorite coffee bar and cafe in the city.  The coffee is always perfect with an unbelievable selection of pastries, sandwiches, and soups. The miso mushroom soup is so rich, creamy and chuck full of whole wild mushrooms. I …",4
Richard W,7,6 months ago,"The Vernick name is a stamp of quality. The croissant was one of the best I’ve had: toasty, buttery, fluffy, not greasy at all. I also loved the satin-like butternut squash soup and the jammy cold brew. The Americano was a huge step down from the cold brew, though, as it tastes way past dark roast.",4
Dr. Ñeşreeñ Ñãssęr,327,2 years ago,"Lovely, bright and elegant ambience. Nice place to go and enjoy a business meeting or chat with a friend or simply enjoy a quality time by yourself. The facilities are clean and well maintained. The Toilets are super clean and nice. It is …",4
Laura Mag,328,2 months ago,This is a great spot if you need to stop quickly or hang out and get some work done. The mushroom miso soup is unbelievably delicious! The only problem is I wish it was twice as big! The service is fast and friendly and the place is extremely clean. I had one muffin which was also great!,4
erica,329,a year ago,"yes!!! this is my favorite coffee spot. the food is incredible, and so is the coffee! the staff is super friendly and pleasant. the ambience is amazing. the prices are very reasonable, especially for how delicious everything is. whether you …",4
S C (Calvin),330,11 months ago,"The nicest place to grab coffee and pastries in Center City. Also, a dining room is available for a sit-down table service meal. Friendly service, great quality ingredients, wonderful grab & go selection.  Pastries are worth a visit.",4
Nicole Hinterberger,137,4 months ago,"Delicious and beautiful. Sandwich and pastry options are extravagant. Coffees and lattes are excellent. The atmosphere is a mix of natural and modern. Despite a bustling environment, service is prompt and the seating area always has tables available and is quiet enough for work or conversation. Big fan!",4
Torin McFarland,113,3 months ago,"Delicious pastries (I'll need tor return for more, and the next seasonal batch), good matcha latte, and a cool seating area. It's very busy (says a lot about their high quality) and they are quite efficient at serving everyone. Highly recommend you drop in 😋 …",4
Cynthia Chen,331,a month ago,Raspberry mocha latte (seasonal) and blood orange danish. Both were delicious and super legit.,4
Cricket Lennon,332,a month ago,Coffee is absolutely delicious and the people who work there are exceptionally nice. Love this place,4
Karen S. Haynes,326,5 months ago,"Vernick is my favorite coffee bar and cafe in the city.  The coffee is always perfect with an unbelievable selection of pastries, sandwiches, and soups. The miso mushroom soup is so rich, creamy and chuck full of whole wild mushrooms. I have this at least every other week. If you have more time to have a sit down lunch try the cafe. James Beard level meals in an approachable atmosphere with fabulous service.
A true gem in the heart of Centre City.  Plan ahead an book a tour of the sphere to complete the experience.",4
Brigette Wolf,333,2 months ago,yea… SHUT UP!!! The brownie they have at this cafe… shut up. It is so good I was second guessing if I was awake or in a dream. WHO is responsible for this creation?????? Wow. JUST WOW.,4
Austin Graff,334,2 years ago,"Surrounded by city buildings and steps away from history, Vernick Coffee Bar is a tech-forward oasis inside the Comcast Technology. Take the escalator to the second floor and find the spaceship looking cafe. You're in the right place. …",4
Mahmoud Farag,335,10 months ago,"Was there for breakfast and coffee! Top notch coffee and the pastries looked great (haven’t tried them)
But I had a yogurt which was surprisingly amazing! The toppings were super …",4
Christopher Smith,336,4 months ago,We had huge hopes for the 2 dessert pies ordered for Thanksgiving dinner. $100 for 2 pies should knock your socks off. Presentation was stellar but flavor did match the cost. We love the restaurant but the desserts are way below average. Super disappointed.,4
yilin ye,337,a year ago,"01/08&11&12;

pastries so good and creative— luv the chai blondie, gigantic chocolate sea salt …",4
Jamie Hutchins,338,6 months ago,"I’m really don’t know why Vernick doesn’t have a better overall rating. I’ve been coming here for about 3-4 years whenever I come to town and it’s always been excellent. The staff are friendly, the food (that I have had) was great - heard …",4
Chandler Hsu,131,3 years ago,"This coffee bar is a nice little surprise! Inside the futuristic indoor living courtyard of the Comcast Building, on top of the escalator, this open, minimalist and elegant space maybe hidden but certainly not forgotten. …",4
Serena N.,339,2 months ago,"Everything is very high quality and delicious, but also expensive. I would rank it at 5 stars if there weren't a lot of other high quality and delicious places in center city that you can get similar things for cheaper.",4
Andrew Kelvas,340,5 years ago,This is located in the lobby of the Comcast Technology Center. Really neat design. The staff were very friendly. The sourdough biscuit with marmalade was very tasty and my latte was great.,4
JD A,341,3 months ago,Gingerbread muffin and poached pear danish were great. Would've been nice to know that the cookies don't come out until 11am.,4
Frederik T,342,6 years ago,"Located in the huge lobby of the Comcast Technology Center, quite impressive! On the pricier end, but cakes and pastries from Metropolitan Bakery are delicious. Good amount of seating.",4
Zela,343,10 months ago,"I mostly come here to sit at their coffee bar to work, and I haven't dined in yet. There's plenty of space and lots of outlets to charge your electronics, which is great. The coffee is okay, and the food is amazing. However, I've noticed that the quiche is consistently cold in the middle. Maybe warm it in the oven a bit longer?",4
Lisa Ye,344,11 months ago,"Vernick might have one of my favorite oat lattes in Philly so far.
I always get an iced oat latte as control and I search for a nutty/chocolate/caramel note in my espressos. The flavors of espresso here comes through well, a …",4
M W,345,11 months ago,"Vernick's coffee is widely acclaimed (by Comcast Employees at least) as the best coffee in the area, and I wholeheartedly agree. It's not a cheap option, but the quality is top notch and the food is as excellent as you'd expect from …",4
anshul gupta,346,6 years ago,"Loved the staff ❤️ :)
Warmer than my cup of warm coffee ☕️😀
From regular coffee to your cappuccino to chai latte everything is delicious for a good day start or a mid day coffee break .... can’t have enough than this .... …",4
Chris Lehmann,347,3 years ago,"A great place to grab a fancy coffee and a pastry on your way to work. The carrot cake and pretzels are fantastic, and the staff is always very friendly and attentive.",4
Stacey Minter,348,a year ago,Great spot with good vibes. Plenty of seating and outlets. Drool-worthy pastry case …,4
Steve Blechman,349,a year ago,Beautiful setting for a latte and scrumptious deserts.  Located in the upper lobby of the Comcast Technology Center.,4
Chanel Cox,350,11 months ago,"So I came here because it had high reviews. However the service was very disappointing. Thinking an establishment like this would hold its customers in its very best interest, I was sadly mistaken. I came here the other night thinking …",4
James Dohm,351,10 months ago,Poor seating policy where the tables by the terrace aren't accessible during lunch service. We could have ordered the same items for table service that we received at the cafe. Servers were rude and unwilling to make an exception even …,4
Jawn Shackamaxon,352,2 years ago,"Impressive - all the way around - service is efficient and friendly as you take in a delicious selection of treats and coffees - the olive oil cake, muffin, and pretzel were all great. Coffee was hot and good too! There’s a decent amount of …",4
Andrew Mead,353,5 months ago,"It’s a nice spot. Staff are super friendly, plenty of bar seating for laptop work, and restrooms are large and clean.",4
Josh Nevid,354,a year ago,"This place you have to go to of you like odd food. The service was amazing, some of the best services ever.  The menu doesn't have pictures or great descriptions of what you are ordering. I legit thought I was getting a salad with chicken. …",4
Wesley Cox,355,11 months ago,"My university had a reception here.
The manager didn’t want us to come in and physically blocked me from entering the space with his body even after I told him I was with the university. …",4
Konrad Kording,356,a year ago,"It is an amazing space in an amazing building. Pastries are great. Coffee is a bit underwhelming. A bit like Starbucks, not so third wave. So come for the space and pastries, tolerate the coffee. It is ok.",4
christopher barsch,357,10 months ago,Beautiful space and design but the baristas were total dorks. Very pretentious and rude. Pastry was very good and espresso was sub par.,4
Samantha,358,10 months ago,"Really rude and oblivious barista, which believe it or not I’d be willing to overlook if the nitro wasn’t one of the worst I’ve ever had. Yikes! I really enjoy Vernick’s other spots and prior to this, had only enjoyed positive experiences …",4
Nishant Rajkumar,359,2 years ago,"Vernick Coffee Bar is a fantastic spot for a quick and delicious meal or drink. The drinks, food, and service were all outstanding. The baristas are friendly and knowledgeable, and they take pride in crafting delicious beverages. The …",4
Kris Spadea,360,a year ago,"This is an open to the public coffee bar in the base of the Comcast Technology Center. I have not tried any of the food there but the espresso drinks are good. The staff can be a little grumpy at times, but no more than any other coffee bar …",4
Maher Harb,361,6 months ago,"I generally like this place, but was recently served boiling hot latte. Not sure what the intention of the barista was but I don’t believe that this was an accident. Not coming back",4
David Weintraub,362,2 years ago,"On my way to Fed Donuts someone said ‘have you been to Vernick Coffee bar?’ I had not, so I pivoted. And what a great call. We live in SF Bay Area and wife said ‘this is the best iced latte I’ve ever had.’ All four danishes were outstanding. And service was welcoming and helpful. Perfect for morning.",4
Whitney Golden,363,a year ago,"I have seen multiple articles praising the mushroom miso soup here, so I just had to try it. To my consternation, I paid $10 for a cup of broth with some enoki mushrooms tossed in. It was tasty broth, but the price is absolutely not justified. Doesn't even come with a roll/side of bread.",4
Lucy Smith,364,a year ago,"We love coming to Vernick Coffee Bar and make sure to visit every time we're in town. The staff are always really friendly and make us feel so welcome. The coffee and food is delicious. Great coffee, Great atmosphere, Great vibes.",4
Ethan Pilot,365,a year ago,"Truly excellent pastries and friendly folks. I always stop by for breakfast and a nitro whenever I get the chance, the value is great for the quality of baking! In particular all the laminated pastries whether croissants or kouignn amann are always flawless.",4
Sheyda,366,2 years ago,The food is incredible here but BE AWARE that plates are only available during lunch service hours. I have ordered pastries for take out several times with no issues but we came here in person one morning to enjoy the cafe; they gave us the …,4
cmt cmt,367,2 years ago,"Lovely location and wonderful food. The reason for three stars: charged on refill of coffee just charge a flat price and be done with it. Asked for bread with lunch and we were charged again not informed of the charge. Also, the bread was the size of crackers really!  Come guys this is the Four Seasons!",4
Brian McLaughlin,368,2 years ago,"I never miss an opportunity to stop by Vernick Coffee Bar. It is a great spot to pick up a coffee or cappuccino and there is seating at some tables right in front of if you would like to enjoy it before taking off. The staff looks like they have fun, and are consistently attentive and pleasant to chat with.",4
Chrissy S,369,5 years ago,My first visit gets 5 stars! Small but good selection of teas (I had the ginger turmeric) and couldn't pass up the dark chocolate mint croissant. That croissant was unique and amazing! …,4
Cameron,370,a year ago,"I was really excited to visit the Vernick coffee bar after initially touring some of the Comcast center. However, I was somewhat disappointed with my experience when I actually sat down at the establishment. During my two-hour visit, heavy …",4
Annie Lin,371,9 months ago,"i almost want to keep this find to myself. a truly ideal working space to come for coffee, a quick chat, etc. its a beautiful space with plentiful chargers and i really like their espresso lol",4
Zach Weber,372,6 months ago,"Coffee was gross and filled with grounds, everyone was extremely rude but the ambiance was great",4
Kevin Matthews (soloha),373,a year ago,"A little pricey but always delicious. Recently I ordered a beet ruben. I mistakenly thought it was a ruben with beets added, but the beets were a substitute for the meat. I was skeptical but it was actually amazing. I've gone back and i've gotten it again.",4
Echelon Tahir,374,6 years ago,"If you’re considering overpaying for a cup of coffee or cappuccino, then you might as well do it inside the lobby of a BILLION DOLLAR SKYSCRAPER 🏙 🥳 💰 …",4
Louis Temme (Lou),375,a year ago,"Terrific capachino and pastries. Quick service, unique space on 2nd floor with tables and counters. Located in the Comcast Technology center on north 18th Street between JFK Boulevard and Arch Street",4
Maxim Kind,376,5 years ago,"Good coffee, pleasant ambiance BUT I don't go to Four Seasons for self-service like the paying method. The point of luxury hotels and paying 2x normal prices is the experience of being taken care of, being attended to and not standing in line at a higher end Starbucks where they want you to move along to the next customer",4
Carol Tsai,377,a year ago,Very clean and bright atmosphere that isn't too noisy. Pastries are delicious. They have a really good London fog,4
Margo Kawczynski,378,5 years ago,Fabulous. You can’t go wrong with the food - everything on the menu is great. I come here often and the staff is efficient and friendly. You can also order traditional espresso beverages that they don’t list on the menu and they will be made deliciously!,4
James Baber,379,5 years ago,"Service here is great.  After burning my tongue a few times on overly hot Cortados though, I asked if they could make it in the more traditional Spanish style where the milk is stretched to only about 100°F and then spun to 120°F.  (No this …",4
Ethan Knox,380,5 years ago,What a cool little space in an unexpected location. Espresso is half a notch better than the rest of the nearby shops. So are nearly all the pastry options. Feels like the definition of a upper end city cafe.,4
Lauren Baldonado,381,10 months ago,IMO worth the price tag. I got a matcha latte with soy milk and a quiche vert.,4
Ann Burruss,382,a year ago,"Good coffee, interesting place to sit and watch the ceiling text scroll by (an art installation in the Comcast building). Service not particularly friendly.",4
Lewis Waber,383,6 years ago,"Delicious desserts and coffee at the bar, lunch in the cafe.",4
Retna Slater,384,5 years ago,Grapefruit Kouign Aman is amazing,4
April Dunlap-Kiah,385,a year ago,Everything was surprisingly delicious for this to be a subtle coffee bar. Can't wait to go again. The customer service was excellent!,4
Yuni Ang,386,a year ago,"Love the atmosphere, instagrammable. Coffee is good, too. Cozy place for hang out and work.",4
sengelbr,387,5 years ago,"Nice coffee bar in the lobby of the Comcast building, really intended for those going into the building. Not a lot of seating and a ""lobby"" atmosphere. If you're not visiting Comcast go somewhere else.",4
Lena Prykhodko,388,2 years ago,Great place for a quick breakfast stop. Delicious coffee and a good selection of pastries. Nice and cozy spot.,4
Jill Davis,389,6 years ago,Creative & delicious food (both for sit down service and take away)! Staff is friendly and knowledgeable. Try the carrot cake or the grilled romaine!,4
Yoshi Y,390,a year ago,"Hate to credit Dave Portnoy, but the chocolate chip cookies here are probably the best I’ve had in this country!",4
Daniel,391,6 years ago,Space and location are very nice. However this had to be some of the worst coffee I had.  Not even considering how expensive it was. We ended up dumping our coffee and going elsewhere.,4
Lyndsey McCormick,392,6 years ago,"Excellent pastries, great coffee, fun and chill vibe. Was even able to order a flat white (not on the menu, but should be!)",4
Francys Fuentes,393,2 years ago,Friendly service. Nice food. Clean and pleasant ambience. Perfect to grab a snack for a short break and keep on moving.,4
Charles Henry,394,2 years ago,Great coffee and pastries: I got a white latte and a croissant that was fantastic. Don’t go to the sphere - it’s not great,4
Christopher Parsons,395,5 years ago,"One of my city favorites, dine-in or take-out; many high quality offerings. Stopping here will often boost my mood/spirits for the rest of the week if not longer",4
Robert Ortiz,396,2 years ago,Baristas were dismissive and ignored my questions when asking for clarity. First time customer so this definitely was a poor impression.,4
Food And Travel,397,2 years ago,Love this place. Good coffee and beautiful lobby. Great for a quick business meeting and accessible to all,4
Lynne Spotts,398,a year ago,Yum!,4
Bernadette Curtis,399,2 years ago,"This place has  a fun upscale, young vibe with great light fare for lunch. Food is better than average.",4
Sarena S,400,10 months ago,Nasty staff. Made several rude comments while we asked for a bag and tried to pay.,4
Breon Alcork,401,2 years ago,Very fancy! Reasonably priced! Great coffee! Good experience all around,4
Kanishka Wijesekara (Kanishka),402,6 years ago,Great coffee bar great selection and nice cozy seating area. No bathrooms for guests at the building though.,4
Daniel Abramov,403,5 years ago,Amazing food. The soft pretzels. Everything is amazing. breakfast and lunch are really good there as well.,4
Alexander Cohen,404,5 years ago,One of the better espressos I’ve had in town. Very nice in side the Comcast tower,4
Pixie,405,6 years ago,"Amazing place! Great food, very sensitive to accommodations, excellent staff. The space is very welcoming, as well!",4
Jeanette A,406,a year ago,"Tasty pastries and coffee, convenient location with plenty of seating options",4
Sheila Anne Magee,407,3 years ago,Very nice coffee bar with fresh bakery items.They just recently reopened after covid and can only get better,4
Gwynne Grasberger,408,6 years ago,Excellent and friendly service. Ordered shrimp soba but shrimp were a little tough and didn't taste fresh.,4
Yash Rathi,409,a year ago,Didn’t think a small espresso bar could have amazing coffee. Pleasantly surprised.,4
Mike,410,2 years ago,Coffee and food selection is decent and quick. Staff could be a little less rude.,4
Sergei Chekov,411,5 years ago,its a little expensive but everything is super high quality and worth it. The banana nutella swirl is amazing,4
Nichelle Ahmaddiya,412,5 years ago,Delicious carrot cake pie! The blueberry peach cake was just as good.Yum!,4
Lashan Maddox,413,a year ago,Love the cafe style food and lattes are amazing with a special touch,4
Tim Gilboy,414,5 years ago,Excellent lunch and great service. Would especially recommend the focaccia,4
Jags Krishnamurthy,415,6 years ago,Crowded. Just had coffee with friends. The coffee itself was okay. The space is very nice.,4
Jack Cameron,416,10 months ago,Carrot cake has no right being this damn good.,4
Sheila Brennan,417,6 years ago,Great space! Delicious cappuccino. Lots of energy! The future is now!,4
Anceli Morais,418,5 years ago,Good food and good service.,4
Michael Mangraviti,419,5 years ago,"Beautiful setting, beautiful place, great coffee, amazing food.",4
Stephen Klinck,420,4 years ago,"Great coffee, ambiance, and butternut squash soup!",4
T S,421,3 years ago,Rude service. Coffee & pastries are Mediocre at best.,4
Y BAE,422,a week ago,Very welcoming atmosphere with well made bread. I had early breakfast here before my work get started and it was a great choice. All ingredients are fresh and served in a beautiful way.,16
Annie Streater,423,2 months ago,"I ordered the soft boiled eggs, a pastry and a large latte. Coffee was good. Soft boiled eggs were cooked perfectly but the bread it comes with is an odd choice. Firstly, there’s a ton of it, more than you could realistically eat with the …",16
Shinjini Chattopadhyay,424,10 months ago,"Great experience. The bakery is aesthetically decorated, the furniture feels very cosy. The food is fantastic. I tried the croissant and it was exquisite. I got tea and it was a tea bag. I think loose leaf teas will go great with the …",16
Bilal Khan,425,2 months ago,"French cream doughnut was a great mixture of sweet doughnut with fluffy cream on the inside! Also, they accommodated us for prayers! Good food, great service, awesome people!",16
Elena Kulakova,426,5 months ago,"They have a very good selection of healthy food, I ordered lentil salad with added fish. The veggies were fresh and tasty, and the size was just right for lunch. The interior and furniture looked slightly worn out, outdated, not enough clean.",16
Randy Peterson,427,9 months ago,My wife and I stopped in here on a day trip in Philly and got two brownies and a coconut macaron. They have a small seating area for people who just want to buy some baked goodies for a snack but I think there's also a restaurant with ample …,16
Gu Lin,428,a year ago,"It is difficult for me to review this place. The atmosphere expressed through upholstery is great. Wooden chair, huge and bright windows, nicely presented pastry items in the cupboard, various types of gems and seasoning on the table, …",16
Randall Kobetich,429,a year ago,The classical music is tasteful. the food is very nice. Malika was an awesome server who I tipped well. she is friendly welcoming and super efficient. I told her I had a doctor appointment at 7:30 and she got everything for me done quickly …,16
Su Meader,430,2 months ago,"The food menu and place itself looked great from the outside but our experience was not good. Went for lunch on Saturday, first sat down to dine in but it took so long for someone to come take our order that we switched for takeout instead …",16
Andrew Boyd,431,3 years ago,"This was me and my wife's first time going here for a dine-in meal.  The service was spectacular, the food was remarkable, and our experience had us moving ourselves for not coming here sooner. I had a skillet, my wife a breakfast bowl.  My …",16
William Brayton,432,3 weeks ago,"We had high hopes because the food looked great in the pictures. I'm not saying the food was bad by any means, but they charge 12$ for a Belgian waffle with a handful of berries. I had the basic egg sandwich and added bacon, again a …",16
Jackie Henry,433,a year ago,"I got the Sunny Side Breakfast Bowl, fruit salad, and an iced mocha.

For the food, the breakfast bowl has a tangy flavor. It tasted fresh, and the …",16
Shawn Monroe,434,2 years ago,"Amazing authentic food!

We had the Poffertjes (Dutch mini pancakes), and they were exact to the …",16
La Verne N. P. Towns,435,3 months ago,"THE STAFF IS WHAT KEEPS ME COMING BACK, BESIDES THE GREAT FOOD. I LOVE THE LEMON GINGER TEA!!!",16
Ping Regis,436,2 years ago,"I normally avoid places like this for fear of them being too bougie, but this location took me by surprise! It was around lunch, and while I was willing to keep wandering around, my friend had that look of ""I need food now or there will be …",16
Tamara Garlow,437,3 weeks ago,Just the nicest anniversary ever!  My husband and I popped in for mimosas and snacks and Lateha and her team spoiled us rotten!  Food was delicious and this was just the nicest touch on a beautiful day.  Definitely will come back.,16
PhillyMan,438,5 months ago,"Just had a delicious omelette and latte. Both were very good. My order came with some nice, fresh-baked bread. Great ambience too - very airy and relaxed.",16
Lillian Murphy,439,5 months ago,"A great central location for simple salads and sandwiches. Food is a little overpriced but the ambience is really nice. A bright, open, airy place to read or work. The servers are also very polite and attentive.",16
Mai,440,5 months ago,Iced matcha latte was unbelievably terrible. It came out tasting like a cup of whole milk with ice and no taste of matcha. I took like 3 sips and threw out my whole cup.,16
Kristi Rogers,441,a year ago,I ordered a macciato with oatmilk and the mushroom & gruyère quiche. Absolutely delicious. I went mid morning on a weekday and was able to seat myself quickly. Service was great and the servers were great with recommendations. I cannot wait to go back again one day!,16
Abdullah Saad,442,2 months ago,"The French cream doughnut was great! Also my friends and I are muslim and were looking for a place to pray here. Trey found us and led us to the back where he gave us a prayer rug and a space to pray, which was so thoughtful of him!",16
Autumn Blues,443,a year ago,"We got buckwheat banana walnut cake and giant chocolate chip cookie. The buckwheat banana and walnut cake so absolutely delicious, I loved the texture, the flavors and the fact that it wasn’t overly sweet. The cookie was pretty good too.
I’m hoping to visit this place again to try other items.",16
Stacy Tucker,444,5 years ago,I was.in town for a friend having surgery at PennMedicine. I love French bakery cafes so this was a.good choice. The fresh and healthy options were plentiful. The server was friendly and helpful despite the shop being very short staffed that day.,16
Francis Ayombil,445,3 years ago,Place was not busy and the waiters and waitresses were friendly. You pickup the menu inside and seat yourself inside or outside. Food 🍱 is was ready within 10 min of seating and was delicious 😋. It’s a great location if u wanna get coffee ☕️ or tea and do some quick work on your small electronics. Cheers 🥂 …,16
Lamar,446,2 months ago,"I stopped in this place for a bite and asked them to build me an omlette.  The staff were very nice, the wait was short, and they did well on the preparation.   The late was also pretty good here.",16
Adrian London,447,7 years ago,"Deion our server was amazing!!! He took care of us and he was very kind, as for the food it was awesome, I will comeback here when i get back to Philly!!! Great Vegan options thank you",16
Jenn Szeker,448,9 months ago,Over priced for small portions and poor quality. Ordered the Mediterranean Caesar Salad. $19 for a small salad with no real flavor.  I could have gotten a better tasting salad for way less at Wawa. Would not go back.,16
Müge Schimmel,449,4 months ago,Excellent service and food but overpriced. Also please change those plate things that dont have any rims to hold the food in. Food keeps spilling or falling out during service but it isnt the servers fault. A ceramic dish that is made to look like a cutting board is just a bad design.,16
Fabio Verdiani,450,3 months ago,"The food is excellent. The service is typical philly sloppy service. The personnel doesn’t acknowledge your presence, talk to each other igniting you and have you sign for your credit card on the same filthy iPad they use for digiting orders. Disgusting",16
Apparittia Matthews,451,a year ago,"This was nice. the menu was good. And the soup of the day was butternut squash, one of my favorites. The salmon avocado toast was nice but a little disappointing. They used the bagged avocado spread then put a couple slices of avocado on …",16
"Paul Curley, CFA",452,a year ago,"Wonderful high quality food, atmosphere and service. Was there for lunch and tried out many view dishes. All fresh and organic. Perfect for Walnut Street Theatre, or while in town. Will go again.",16
Alexis Bullock,453,a week ago,"The food is amazing and the service is quick and efficient, as well as the servers are kind and helpful",16
Cee Rainey,454,2 months ago,Food is Superb..Waitress Fantastic!!,16
Simran Kaur,455,7 months ago,"Food and service was horrible. I got the seasonal roasted veggie feta flatbread, when it came it was missing multiple toppings. I took 2 bites and told my server that I really don’t like this, it’s missing toppings and I can’t even eat it, …",16
Cheryl Boukhediche,456,a month ago,Friendly and fast service. The pumpkin spiced latter and Belgian Waffle were both delicious!,16
Annie,457,6 years ago,Visited today for a snowday breakfast. As mentioned by another reviewer the staff  were a bit loud in the back on occasion but it did not last long so it didn't affect the calm Parisian vibe. Set up of the restaurant was a bit odd. It took …,16
Sara Hss,458,2 years ago,The host can be more friendly & welcoming. The food was ok ( skillet eggs was not impressive but the chicken one was great) the atmosphere is cozy & nice. Overpriced for the quality that they deliver,16
Gloria G.,459,11 months ago,"The dude who took my order was so friendly, he noticed my awesome tote bag of my favorite band (despite my thinking he was way too young to know of them!), was so pleasant, and just very good at his job. Also, the food here is AWESOME, it …",16
Courtney Wilkerson,460,3 months ago,WASHINGTON SQUARE BIRTHPLACE OF AMERICA PHILADELPHIA NOT PROVIDING PURCHASED ORDER MELANATED ADA COVERED NEURODIVERT HumanTrafficking survivors Week of Christmas on American SoilAlways enjoy Organic Speculoos Spread on sourdough in person …,16
Polina P,461,a year ago,"Such a good place! Great and quite ambiance, cute decor. I got an avocado toast with salmon — amazing! Also great service. Thank you",16
Luke Heberle,462,2 months ago,Pasties are top notch and fairly priced. Family friendly dining space with plenty of space. Excellent.,16
YC Boey,463,3 years ago,Decent place for sandwich lunch.. like the morazella chicken and mushroom omelette.  Drinks are served in bowls!!,16
Gabrielle G,464,3 years ago,"I thought the food was great, the service was good, and the bakery items were fantastic! The other people in my party didn't love their food though, and it was a tad pricey to go often, but I would go back!",16
Yulia Kozyrkova,465,a year ago,A very nice place for coffee and breakfast. Their bread and all pastries in general are amazing.,16
Terressa Thompson,466,3 years ago,"Pleasant surprise brunch. Was driving by and decided to stop in. Thought it would just be bakery items and coffee, was pleasantly surpised that they had a really extensive menu. Reasonable prices as well! Great relaxing atmosphere on a Sunday morning.",16
Lou R,467,7 months ago,"Aesthetically pleasing. The food is good. The lady at the counter was great!! Very helpful, friendly and polite!! Hard to find people in such good mood so early in the morning now a days",16
Heather Hicks,468,a year ago,Pastries were tasty and light as a cloud. Lattes were delish. Yogurt parfait was fresh and yummy. Everything was beautiful!,16
Aleciana Madalena,469,5 months ago,Went two days in a row last week when my husband had eye surgery across the street. Loved the atmosphere here,16
Owen Miller,470,2 years ago,"Upon ordering coffee, I was given a ceramic teapot and a bowl. I don't want to drink with two hands, from a bowl, like I'm in an orphanage or a prison. The teapot was filled to the top and had a small spout, so inevitably it dripped down …",16
Eda Dabulla,471,3 years ago,"Very nice place! Stylish and worm place, very good food, located in one of the best neighborhoods in Philly, kind staff!",16
Synwon J Yoon,472,5 years ago,Le Pain Quotidien has lovely interior decorations. This location's staffs were very kind.,16
Tameka Carr,473,3 years ago,Nice waiter. Cute and cozy setting! Good food. 😋 …,16
Ana Cabriada,474,3 months ago,"Staff is so kind and friendly, atmosphere is festive for the holidays, and food is delish",16
Allen Simmons,475,5 months ago,VERY NICE SERVERS. NOVEMBER 2ND. I THINK SHE WAS THE MANAGER OF THE SHIFT. SHE MADE ME FEEL VERY WELCOME 🤗 …,16
Maria Carolina Peralta,476,4 years ago,This place was super cute. I loved the food and service we received.,16
Kathy Leifeste,477,2 months ago,Thoroughly enjoyed our  brunch!   Food good.,16
Ulondah Blake,478,a year ago,"As I type I am still waiting for the check. The atmosphere is nice, the food was good when I got it. The Latte was perfect as well. *Pause as waiter apologizes again* So when I walked in I saw the sign that says seat yourself. Once seated I …",16
Angela Hou,479,6 years ago,"Good, wholesome food. Nice atmosphere. Looks like they currently have a $10 daily tartine deal as well!",16
Judith Farber,480,a year ago,Came in for a late lunch during the week. The restaurant wasn't very busy and we sat ourselves as directed. Staff was busy talking among themselves but  a waiter did serve us after awhile. Main dish(quiche) brought out before I took two …,16
